Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
572,Flittle,0.00174,35,0.002,29,0.002,9
573,Kirlia,0.00174,35,0.002,23,0.001,3
574,Voltorb-Hisui,0.00164,33,0.002,24,0.002,8
575,Drakloak,0.00164,33,0.002,26,0.002,8
576,Inkay,0.00164,33,0.002,25,0.002,6
577,Dewpider,0.00164,33,0.002,30,0.002,7
578,Treecko,0.00159,32,0.002,16,0.001,3
579,Cutiefly,0.00159,32,0.002,31,0.002,7
580,Pawniard,0.00159,32,0.002,26,0.002,5
581,Stunky,0.00154,31,0.002,30,0.002,4
582,Prinplup,0.00154,31,0.002,24,0.002,4
583,Frogadier,0.00149,30,0.001,24,0.002,6
584,Cranidos,0.00149,30,0.001,23,0.001,4
585,Shellder,0.00149,30,0.001,16,0.001,1
586,Tandemaus,0.00149,30,0.001,22,0.001,9
587,Happiny,0.00144,29,0.001,24,0.002,4
588,Tynamo,0.00144,29,0.001,25,0.002,5
589,Torchic,0.00144,29,0.001,21,0.001,3
590,Chingling,0.00139,28,0.001,19,0.001,4
591,Staravia,0.00139,28,0.001,24,0.002,4
592,Phantump,0.00139,28,0.001,25,0.002,6
593,Venonat,0.00134,27,0.001,20,0.001,1
594,Mienfoo,0.00134,27,0.001,20,0.001,5
595,Poltchageist,0.00134,27,0.001,24,0.002,9
596,Pupitar,0.00129,26,0.001,21,0.001,2
597,Lotad,0.00129,26,0.001,9,0.001,3
598,Zweilous,0.00124,25,0.001,21,0.001,5
599,Oshawott,0.00119,24,0.001,22,0.001,5
600,Vulpix-Alola,0.00114,23,0.001,20,0.001,7
601,Slowpoke,0.00114,23,0.001,15,0.001,8
602,Capsakid,0.00114,23,0.001,21,0.001,9
603,Mankey,0.00114,23,0.001,18,0.001,1
604,Wiglett,0.00114,23,0.001,18,0.001,9
605,Mudbray,0.00109,22,0.001,17,0.001,7
606,Grookey,0.00109,22,0.001,19,0.001,8
607,Cyndaquil,0.00104,21,0.001,19,0.001,2
608,Quilladin,0.00104,21,0.001,15,0.001,6
609,Blitzle,0.00104,21,0.001,18,0.001,5
610,Axew,0.00104,21,0.001,19,0.001,5
611,Sandshrew-Alola,0.00104,21,0.001,20,0.001,7
612,Sliggoo,0.00099,20,0.001,11,0.001,8
613,Chimchar,0.00099,20,0.001,16,0.001,4
614,Litten,0.00099,20,0.001,19,0.001,7
615,Feebas,0.00099,20,0.001,15,0.001,3
616,Shuppet,0.00099,20,0.001,15,0.001,3
617,Minccino,0.00099,20,0.001,16,0.001,5
618,Hakamo-o,0.00094,19,0.001,13,0.001,7
619,Ekans,0.00094,19,0.001,16,0.001,1
620,Yanma,0.00094,19,0.001,17,0.001,2
621,Gimmighoul-Roaming,0.00094,19,0.001,17,0.001,9
622,Piplup,0.00094,19,0.001,13,0.001,4
623,Spewpa,0.00094,19,0.001,17,0.001,6
624,Hatenna,0.00094,19,0.001,18,0.001,8
625,Rufflet,0.00094,19,0.001,14,0.001,5
626,Magby,0.00094,19,0.001,18,0.001,2
627,Tepig,0.00089,18,0.001,11,0.001,5
628,Kubfu,0.00089,18,0.001,17,0.001,8
629,Bronzor,0.00089,18,0.001,18,0.001,4
630,Nuzleaf,0.00084,17,0.001,14,0.001,3
631,Tentacool,0.00084,17,0.001,12,0.001,1
632,Gimmighoul,0.00084,17,0.001,15,0.001,9
633,Combee,0.00084,17,0.001,15,0.001,4
634,Bellsprout,0.00084,17,0.001,14,0.001,1
635,Vullaby,0.00084,17,0.001,14,0.001,5
636,Tyrogue,0.00084,17,0.001,10,0.001,2
637,Floette,0.00079,16,0.001,12,0.001,6
638,Fletchling,0.00079,16,0.001,11,0.001,6
639,Fuecoco,0.00075,15,0.001,14,0.001,9
640,Dreepy,0.00075,15,0.001,11,0.001,8
641,Noibat,0.00075,15,0.001,14,0.001,6
642,Trumbeak,0.00075,15,0.001,12,0.001,7
643,Wingull,0.00075,15,0.001,14,0.001,3
644,Espurr,0.00075,15,0.001,11,0.001,6
645,Beldum,0.00075,15,0.001,14,0.001,3
646,Growlithe-Hisui,0.00075,15,0.001,14,0.001,8
647,Makuhita,0.00075,15,0.001,6,0.000,3
648,Dartrix,0.00070,14,0.001,11,0.001,7
649,Lombre,0.00070,14,0.001,13,0.001,3
650,Dolliv,0.00070,14,0.001,11,0.001,9
651,Lampent,0.00070,14,0.001,13,0.001,5
652,Pikipek,0.00070,14,0.001,8,0.001,7
653,Nacli,0.00065,13,0.001,11,0.001,9
654,Grovyle,0.00065,13,0.001,9,0.001,3
655,Dratini,0.00065,13,0.001,12,0.001,1
656,Cetoddle,0.00065,13,0.001,7,0.000,9
657,Grimer,0.00065,13,0.001,11,0.001,7
658,Flaaffy,0.00065,13,0.001,13,0.001,2
659,Horsea,0.00065,13,0.001,9,0.001,1
660,Sinistea,0.00060,12,0.001,10,0.001,8
661,Marshtomp,0.00060,12,0.001,12,0.001,3
662,Bergmite,0.00060,12,0.001,10,0.001,6
663,Froakie,0.00060,12,0.001,9,0.001,6
664,Slugma,0.00060,12,0.001,9,0.001,2
665,Scorbunny,0.00060,12,0.001,10,0.001,8
666,Meowth-Galar,0.00060,12,0.001,12,0.001,8
667,Joltik,0.00060,12,0.001,9,0.001,5
668,Snubbull,0.00055,11,0.001,10,0.001,2
669,Igglybuff,0.00055,11,0.001,11,0.001,2
670,Bagon,0.00055,11,0.001,9,0.001,3
671,Kricketot,0.00055,11,0.001,7,0.000,4
